========================================================================================================================
COMBAT DURATION CALCULATIONS - Session 2.0.3 Part C
========================================================================================================================

Starter Deck Stats:
  Total Attack: 62
  Total Defense: 54
  Deck Size: 8 cards
  Cycle Time: 9s (8 draw + 1 reshuffle)

========================================================================================================================
CALCULATING COMBAT DURATIONS (Enemies 1-60)
========================================================================================================================

========================================================================================================================
Enemy    HP         ATK    Duration     Cumulative      Cum. Min   Damage     HP Left    Status      
========================================================================================================================
1        20         0      2.0s         2.0s            0.03       0          100        Victory     
2        86         0      5.0s         7.0s            0.12       0          100        Victory     
3        152        0      6.0s         13.0s           0.22       0          100        Victory     
4        217        0      8.0s         21.0s           0.35       0          100        Victory     
5        283        0      9.0s         30.0s           0.50       0          100        Victory     
6        349        0      10.0s        40.0s           0.67       0          100        Victory     
7        415        0      11.0s        51.0s           0.85       0          100        Victory     
8        481        0      11.0s        62.0s           1.03       0          100        Victory     
9        546        0      12.0s        74.0s           1.23       0          100        Victory     
10       612        0      13.0s        87.0s           1.45       0          100        Victory     
11       678        0      14.0s        101.0s          1.68       0          100        Victory     
12       744        0      14.0s        115.0s          1.92       0          100        Victory     
13       810        0      15.0s        130.0s          2.17       0          100        Victory     
14       875        0      16.0s        146.0s          2.43       0          100        Victory     
15       941        0      16.0s        162.0s          2.70       0          100        Victory     
16       1007       0      17.0s        179.0s          2.98       0          100        Victory     
17       1073       0      17.0s        196.0s          3.27       0          100        Victory     
18       1139       0      18.0s        214.0s          3.57       0          100        Victory     
19       1204       0      18.0s        232.0s          3.87       0          100        Victory     
20       1270       0      19.0s        251.0s          4.18       0          100        Victory     
21       1336       0      19.0s        270.0s          4.50       0          100        Victory     
22       1402       0      20.0s        290.0s          4.83       0          100        Victory     
23       1468       0      20.0s        310.0s          5.17       0          100        Victory     
24       1533       0      21.0s        331.0s          5.52       0          100        Victory     
25       1599       0      21.0s        352.0s          5.87       0          100        Victory     
26       1665       0      22.0s        374.0s          6.23       0          100        Victory     
27       1731       0      22.0s        396.0s          6.60       0          100        Victory     
28       1797       0      22.0s        418.0s          6.97       0          100        Victory     
29       1862       0      23.0s        441.0s          7.35       0          100        Victory     
30       1928       0      23.0s        464.0s          7.73       0          100        Victory     
31       1994       0      24.0s        488.0s          8.13       0          100        Victory     
32       2060       0      24.0s        512.0s          8.53       0          100        Victory     
33       2126       0      24.0s        536.0s          8.93       0          100        Victory     
34       2191       0      25.0s        561.0s          9.35       0          100        Victory     
35       2257       0      25.0s        586.0s          9.77       0          100        Victory     
36       2323       0      26.0s        612.0s          10.20      0          100        Victory     
37       2389       0      26.0s        638.0s          10.63      0          100        Victory     
38       2455       0      26.0s        664.0s          11.07      0          100        Victory     
39       2520       0      27.0s        691.0s          11.52      0          100        Victory     
40       2586       0      27.0s        718.0s          11.97      0          100        Victory     
41       2652       0      27.0s        745.0s          12.42      0          100        Victory     
42       2718       0      28.0s        773.0s          12.88      0          100        Victory     
43       2784       0      28.0s        801.0s          13.35      0          100        Victory     
44       2849       0      28.0s        829.0s          13.82      0          100        Victory     
45       2915       0      29.0s        858.0s          14.30      0          100        Victory     
46       2981       0      29.0s        887.0s          14.78      0          100        Victory     
47       3047       0      29.0s        916.0s          15.27      0          100        Victory     
48       3113       0      30.0s        946.0s          15.77      0          100        Victory     
49       3178       0      30.0s        976.0s          16.27      0          100        Victory     
50       4217       10     35.0s        1011.0s         16.85      4          96         Victory      [*] MINI-BOSS #1
51       3310       10     31.0s        1042.0s         17.37      4          92         Victory     
52       3376       10     31.0s        1073.0s         17.88      4          88         Victory     
53       3442       10     31.0s        1104.0s         18.40      4          84         Victory     
54       3507       10     31.0s        1135.0s         18.92      4          80         Victory     
55       3573       11     32.0s        1167.0s         19.45      5          75         Victory     
56       3639       11     32.0s        1199.0s         19.98      5          70         Victory     
57       3705       11     32.0s        1231.0s         20.52      5          65         Victory     
58       3771       12     33.0s        1264.0s         21.07      6          59         Victory     
59       3836       12     33.0s        1297.0s         21.62      6          53         Victory     
60       3902       12     33.0s        1330.0s         22.17      6          47         Victory     
61       3968       13     34.0s        1364.0s         22.73      7          40         Victory     
62       4034       13     34.0s        1398.0s         23.30      7          33         Victory     
63       4100       13     34.0s        1432.0s         23.87      7          26         Victory     
64       4165       13     34.0s        1466.0s         24.43      7          19         Victory     
65       4231       14     35.0s        1501.0s         25.02      9          10         Victory     
66       4297       14     35.0s        1536.0s         25.60      9          1          Victory     
67       4363       14     1.0s         1537.0s         25.62      8          -7         DEATH       
